Operator,Year,Aboard,Fatalities
Northern Thunderbird Air,1975,7,7
Malev Hungarian Airlines,1975,69,69
Linea Aérea Nacional,1975,30,1
Kenai Air Service - Air Taxi,1975,2,2
Interflug,1975,34,26
Inex Adria Aviopromet,1975,120,75
Horizon Properties,1975,16,5
Homer Air Service - Air Taxi,1975,2,2
Hamilton Aviation,1975,2,2
Golden West Airlines / Private,1975,14,14
Gay Airways - Air Taxi,1975,4,2
Garuda Indonesia Airlines,1975,61,25
Foster Aviation,1975,6,6
Far Eastern Air Transport,1975,76,28
Ethiopian Airlines,1975,9,1
Eastern Air Lines,1975,124,113
Continental Airlines,1975,131,0
Connair,1975,11,11
Channel Flying Service - Air Taxi,1975,5,5
Ceskoslovenske Aerolinie,1975,128,126
Burlington Air - Air Taxi,1975,4,2
Balkan Bulgarian Airlines,1975,48,3
Aviateca,1975,22,15
AVIANCA,1975,4,4
Alia Royal Jordanian Airlines,1975,188,188
Air Vietnam (South Vietnam),1975,26,26
Air Taxi,1975,2,2
Air Express,1975,2,2
Air America,1975,9,9
Aerovias Condor,1975,4,2
Aeroflot,1975,209,209
Aerocondor,1975,5,5
Yacimientos Petroliferos Fiscales,1976,34,34
Winship Air,1976,6,6
Valley Air Service - Air Taxi,1976,6,6
Turkish Airlines (THY),1976,154,154
Transbrasil,1976,11,9
Temsco Helicopter - Air Taxi,1976,4,3
Taxi Aereo el Venado,1976,45,45
Tarom,1976,9,6
TAME,1976,42,34
TAM (Bolivia),1976,22,19
Skyline Aviation - Air Taxi,1976,4,4
Sky Haven - Air Taxi,1976,2,2
Sky Chopper  - Air Taxi,1976,2,2
SATENA,1976,16,5
SAETA,1976,59,59
Sabah Air,1976,12,12
Royal American - Air Taxi,1976,2,2
Reed Aviation - Air Taxi,1976,5,5
Philippine Air Lines,1976,87,14
Philippine Aerotransport,1976,17,11
Petroleum Helicopter,1976,12,12
PacifiWestern Airlines,1976,6,6
Orlando Airways - Air Taxi,1976,4,4
OlympiAirways,1976,50,50
North Sound Aviation,1976,7,7
Nordeste Linhas Aéreas,1976,6,2
Middle East Airlines,1976,82,82
Mercer Airlines,1976,6,3
Mamer - Shreck  - Air Taxi,1976,4,3
Loma Linda University - Air Taxi,1976,4,4
Lloyd Aéreo Boliviano,1976,3,3
LAC Colombia,1976,3,3
Lab Flying Service - Air Taxi,1976,6,6
Korean Airlines,1976,5,5
Kodiak Western Alaska Airlines,1976,4,4
Inex Adria Aviopromet / British Airways,1976,176,176
Indian Airlines,1976,95,95
Inair Panama,1976,2,2
Green River Aviation - Air Taxi,1976,3,3
Green Acres - Air Taxi,1976,3,3
Grand Canyon Air - Air Taxi,1976,2,2
Frontier Flying Service - Air Taxi,1976,5,5
Frigorifico Maniqui,1976,10,7
Faucett,1976,19,19
Falcon Airways - Air Taxi,1976,2,2
Emirates Air Transport,1976,4,4
EgyptAir,1976,53,53
de Havilland Aircraft,1976,11,11
Cubana de Aviacion,1976,78,78
Chartair - Air Taxi,1976,6,6
Ceskoslovenske Aerolinie,1976,79,76
Capitol Air Service - Air Taxi,1976,3,2
CAAC,1976,40,40
Bali International Air Service,1976,38,29
Austin Airways,1976,10,10
AtlantiCity Airlines,1976,10,3
Antilles Air,1976,11,5
American Airlines,1976,88,37
Alaska Airlines,1976,50,1
Air West Airlines Ltd.,1976,19,1
Air Manila,1976,45,45
Air France,1976,278,8
Aeroperu,1976,6,6
Aeroleasing - Air Taxi,1976,5,5
Aeroflot / Aeroflot,1976,90,90
Aeroflot,1976,436,429
Aero National - Air Taxi,1976,4,4
Wright Air Service - Air Taxi,1977,3,3
Vieques Air Link,1977,10,5
Valley Air Service,1977,10,10
United Air Lines,1977,3,3
Transportes Aéreos Itenez,1977,6,6
Transmeridian Air Cargo,1977,4,4
Taxi Aereo el Venado,1977,35,35
TAP (Air Portugal),1977,164,131
Survair,1977,10,4
Straley Flying Service - Air Taxi,1977,2,2
Southwest Aviation - Air Taxi,1977,4,4
Southern Airways,1977,85,62
Skyline Sweden,1977,22,22
Servicios Aereos Nacionales Airways,1977,33,33
Servicios Aereos Nacionales,1977,24,24
Servicios Aereos Martinez Leon,1977,13,13
SATA,1977,57,36
Salida Flying Service - Air Taxi,1977,6,6
Safe Air Cargo,1977,4,4
Resort Air Service - Air Taxi,1977,2,2
Rambar Aviation - Air Taxi,1977,4,4
Private KNBC Los Angeles,1977,2,2
Private,1977,5,5
Petroleum Helicopter,1977,19,17
Pan American World Airways / KLM,1977,644,583
Overseas National Airways,1977,4,2
Northern Thunderbird Air Ltd.,1977,12,12
North Canada Air,1977,2,1
New  York Helicopter,1977,25,4
"National Jet Services Inc.,  (Air Indiana)",1977,29,29
Munz Northern Airlines,1977,2,2
Monarch Aviation,1977,3,3
Merpati Nusantara Airlines,1977,23,15
Malev Hungarian Airlines,1977,53,29
Malaysia Airlines,1977,100,100
LOT Polish Airlines,1977,9,9
LADE,1977,6,6
L & J Company,1977,26,6
Kenn Borek Air,1977,8,8
Kenmore Air  - Air Taxi,1977,7,7
Kenai Air Service - Air Taxi,1977,3,3
Jet Avia Charter,1977,4,4
Japan Air Lines,1977,84,39
Island Airways,1977,2,2
Intracostals - Air Taxi,1977,3,3
IAS Cargo,1977,6,6
Harold's Air Service,1977,4,1
Gaige Aviation - Air Taxi,1977,5,5
Fuerza Aérea Uruguaya,1977,15,5
Fleming International Airways,1977,3,3
Ethiopian Airlines,1977,10,10
El Al,1977,,1
Ceskoslovenské Aerolinie,1977,5,5
Burma Airways,1977,19,19
Balkan Bulgarian Airlines,1977,165,59
Aviation Charter - Air Taxi,1977,2,2
Aviateca,1977,28,28
Austral Lineas Aeras (Argentina),1977,79,46
Alyemda,1977,21,20
Alaska Aeronautical Industries,1977,13,13
Air Logistics,1977,2,2
Aeroflot,1977,300,272
Yute Air Alaska - Air Taxi,1978,3,3
Wyman Pilot Service - Air Taxi,1978,2,2
Webber Air - Air Taxi,1978,12,12
Viking Air Service - Air Taxi,1978,3,3
United Air Lines,1978,189,10
Tyee Airlines - Air Taxi,1978,5,5
Temesco Helicopter - Air Taxi,1978,3,3
Taxi Aéreo Kovacs,1978,9,9
Taxi Aereo el Venado,1978,27,27
TABA,1978,14,2
South PacifiIsland Airways,1978,10,10
Solomon Islands Airlines,1978,11,11
Security Air,1978,7,7
SADELCA,1978,14,14
Rocky Mountain Airways,1978,22,2
PacifiWestern Airlines,1978,49,42
PacifiSouthwest Airlines / Private,1978,137,137
Nile Delta Air Services,1978,18,18
Nigeria Airways,1978,18,18
National Airlines,1978,58,3
Loftleidir IcelandiAirlines,1978,262,183
Lineas Areas del Centro,1978,21,18
LAV - Linea Aeropostal Venezolana,1978,47,47
Las Vegas Airlines,1978,10,10
Lake Havasu Air,1978,6,6
LAC Colombia,1978,12,8
Korean Airlines,1978,109,2
Island Air,1978,6,2
Indian Airlines,1978,132,1
Hesler Noble - Air Taxi,1978,2,2
Henry Webber Air - Air Taxi,1978,2,2
Helikopter Service,1978,18,18
Haïti Air Inter,1978,10,10
Gander Aviation,1978,10,10
Galesburg Aviation - Air Taxi,1978,2,2
Francisco Cruz,1978,6,6
Festus Flying Service - Air Taxi,1978,2,2
Era Helicopter - Air Taxi,1978,7,2
Don Zimmerman - Air Taxi,1978,4,4
Corporate Air - Air Taxi,1978,3,3
Continental Airlines,1978,200,2
Columbia PacifiAirlines,1978,17,17
Chugiak Aviation - Air Taxi,1978,7,2
Chartair - Air Taxi,1978,4,4
Business Aircraft - Air Taxi,1978,3,3
Burma Airways,1978,106,64
Balkan Bulgarian Airlines,1978,73,73
Aviation Charter - Air Taxi,1978,2,2
Astrd Wing Aviaiton - Air Taxi,1978,2,2
Antillies Air - Air Taxi,1978,11,4
Antilles Air,1978,9,2
Amphibians,1978,11,5
Alitalia,1978,129,108
Alaska Travel,1978,6,6
AirWest Airlines,1978,13,11
Air Taxi,1978,21,21
Air Rhodesia,1978,56,38
Air Logistics,1978,6,3
Air India,1978,213,213
Air Guinee,1978,17,15
Air Guadeloupe,1978,20,15
Air Canada,1978,107,2
Air 70,1978,10,10
Aeropeca,1978,18,18
Aeroflot,1978,198,68
Aero Clube de Volta Redonda,1978,4,4
Western Airlines,1979,88,72
West Coast Air,1979,16,2
Village Aviation - Air Taxi,1979,7,2
Universal Airways,1979,8,8
Turkish Airlines (THY),1979,45,41
Transamerica Airlines,1979,3,3
Trans National Airlines,1979,3,3
Trans Mediterranean Airways,1979,6,6
TAM Lineas Aéreas Regional,1979,18,18
Swissair,1979,156,14
Swift Aire Lines Inc.,1979,7,3
SW Air Rangers - Air Taxi,1979,3,3
Sterling Airways,1979,10,10
Spernak Airway - Air Taxi,1979,4,4
Southern Jersey Air - Air Taxi,1979,3,3
Southeast Skyways - Air Taxi,1979,3,3
Soldotna Air Services,1979,7,7
Smithers Air Service,1979,4,3
Skystream Airlines,1979,2,2
Sea Airmotive,1979,3,3
SATENA,1979,20,20
SAETA,1979,57,57
Rhoadgs Aviation - Air Taxi,1979,2,2
Quebecair,1979,24,17
Procurator Generale de la Republica,1979,10,10
Private,1979,3,1
Prinair,1979,21,8
Pakistan International Airlines,1979,156,156
PacifiCoastal Airlines,1979,9,4
New York Airways,1979,18,3
Nash and Tampo - Air Taxi,1979,5,5
McKenzie Flying Service - Air Taxi,1979,3,3
L.J. Simmons - Air Taxi,1979,6,4
Interflug,1979,10,10
Indian Airlines,1979,45,45
Garuda Indonesia Airlines,1979,65,65
Fuerza Aérea del Peru,1979,29,29
Fiji Air Services,1979,9,9
Evergreen Helicopter - Air Taxi,1979,4,4
Ethiopian Airlines,1979,5,5
Downeast Airlines,1979,18,17
Douglas Airways,1979,15,15
Dan Air Services,1979,47,17
Comair,1979,8,8
China Airlines (Taiwan),1979,6,6
Catalina Airlines,1979,11,1
CAMBA,1979,11,10
CAAC,1979,12,12
Butler Aviation Inc.,1979,12,12
Bradley Air Services,1979,9,9
Boise Air Service,1979,6,6
Bankair Inc. - Air Taxi,1979,7,5
Bahri Aviation,1979,5,5
Austin Airways,1979,3,3
American Airlines,1979,349,271
Allegheny Airlines,1979,25,2
Alia Royal Jordanian Airlines,1979,64,45
Air Service - Air Taxi,1979,3,3
Air Rouergue,1979,6,5
Air Rhodesia,1979,59,59
Air New Zealand,1979,261,259
Air New England,1979,10,1
Air Gabon,1979,3,3
Air Algerie,1979,23,14
Agee Flying Service - Air Taxi,1979,4,4
Aeropol,1979,3,3
Aerolineas La Gaviola,1979,9,9
Aeroflot / Aeroflot,1979,178,178
Aeroflot,1979,308,277
Aero Transporti Italiani,1979,31,31
,1979,10,10
Yute Air Alaska - Air Taxi,1980,9,2
VoteTaxi Aéreo,1980,16,16
VOTEC,1980,14,14
Transportes Aereos del Caribe,1980,70,70
Transbrasil,1980,58,55
Tomahawk Airways,1980,9,6
Thai Airways,1980,53,44
Tarom,1980,168,1
Tanzania Aviation,1980,10,10
Tampa Air Center - Air Taxi,1980,3,3
Spantax,1980,4,4
Spanish Air Force,1980,11,11
SceniAirlines,1980,8,8
Saudi Arabian Airlines,1980,592,303
Ryan Air Services,1980,8,8
Rotor Airs In- Air Taxi,1980,7,6
Queen Airmotive - Air Taxi,1980,4,4
Provincial Air Services,1980,4,4
Prospec,1980,3,3
Private charter,1980,2,2
Penninsula Airways - Air Taxi,1980,4,4
Pelita Air Service,1980,13,13
Northeast Jet,1980,2,2
LOT Polish Airlines,1980,87,87
Lloyd Aereo Boliviano,1980,13,13
Lineas Aereas de Angola,1980,29,29
Korean Airlines,1980,226,15
Itavia,1980,81,81
Iran National Airlines,1980,128,128
IMSS,1980,13,13
Haïti Air Inter,1980,9,9
Fuerza Aérea Venezolana,1980,11,11
Flugfelag Austurlands,1980,3,3
Florida Commuter Airlines,1980,34,34
F.R. de la Direccion General de Ados,1980,20,20
Eagle Commuter,1980,10,7
Eagle Airways,1980,2,2
Dan Air Services,1980,146,146
Cubana de Aviacon,1980,37,1
Cubana de Aviacion,1980,3,3
China Airlines (Taiwan),1980,135,2
Central Air Services,1980,2,2
Bouraq Indonesia Airlines,1980,37,37
Ambler Air Service,1980,9,7
Air Wisconsin,1980,15,13
Air Pennsylvania - Air Taxi,1980,3,3
Air Logistics,1980,13,13
Aeronorte Colombia,1980,3,3
Aeronaves del Peru,1980,7,3
Aeroflot,1980,195,195
Aero PaLease - Air Taxi,1980,2,2
Advance Airlines,1980,13,13
Walker - Watts Aviation - Air Taxi,1981,4,4
VOTEC,1981,14,11
Urcupina,1981,7,7
Transamazonica,1981,9,4
Taxi Aereo el Venado,1981,22,21
Taxi Aéreo el Venado,1981,12,2
TAR,1981,4,4
TAME,1981,18,18
Talair,1981,8,8
Taiwan Airlines,1981,2,2
TAAG Angola Airlines,1981,4,4
Sun West Airline - Air Taxi,1981,6,4
Spernak Airways - Air Taxi,1981,4,4
Somali Airlines,1981,50,50
Sky Train Air,1981,3,3
Skagway Air Service - Air Taxi,1981,6,6
Shanair Inc. - Air Taxi,1981,3,2
Royal Nepal Airlines,1981,10,10
Private - Parajump air show,1981,12,11
Private - Corporate,1981,8,8
Orcon Inc. - Air Taxi,1981,3,2
Oefag Flugdienst,1981,9,9
NLM (Nederlandse Luchtvaart Maatschappij),1981,17,17
Moyer Aviation - Air Taxi,1981,4,4
LOT Polish Airlines,1981,52,1
Lineas Aereas,1981,20,20
Inex Adria Aviopromet (Yugoslavia),1981,180,180
Hudson Air Service - Air Taxi,1981,4,2
Helicopter - Air Taxi,1981,8,2
Guyana Airways,1981,3,3
Galena Air Service - Air Taxi,1981,4,4
G & W Aviation,1981,5,5
Freedom International,1981,2,1
Far Eastern Air Transport,1981,110,110
Dan Air Services,1981,3,3
Cascade Airways,1981,9,7
Cameroon Airlines,1981,24,1
Bristow Helicopters,1981,,12
Berkshire Aviation - Air Taxi,1981,3,2
Austral Lineas Aeras (Argentina),1981,31,31
Airfast Indonesia,1981,17,15
Air US / Private,1981,19,15
Air Taxi,1981,4,4
Air Madagascar,1981,19,19
Air Chaparral - Air Taxi,1981,2,2
Aeropesca Colombia,1981,50,50
Aeromexico,1981,84,48
Aerolineas Argo,1981,5,5
Aeroflot,1981,253,154
ACES Colombia,1981,13,13
World Airways,1982,212,2
Wideroe's Flyveselksap,1982,15,15
Western Helicopter,1982,1,0
VASP,1982,255,139
Trans Air Services,1982,32,3
Tarom,1982,7,7
TABA,1982,44,44
TAAG Angola Airlines,1982,15,15
Spantax,1982,394,50
Rijnmond Air Services,1982,10,10
Private,1982,3,3
Pioneer Airlines,1982,2,2
Pilgrim Airlines,1982,12,1
Philippine Air Lines,1982,30,4
Pelita Air Service,1982,10,10
Pan American World Airways,1982,145,146
Okanagan Helicopters,1982,13,13
LAC Columbia,1982,4,4
Japan Air Lines,1982,174,24
Inter Island Air Services,1982,10,10
Garuda Indonesia Airlines,1982,27,27
Far Eastern Air Transport,1982,15,15
Cia Brasiliera de Tratores,1982,10,10
Central Mountain Air Services,1982,5,5
CAAC,1982,181,137
Burma Airways,1982,8,8
British Airways,1982,257,0
Alyemda,1982,49,47
Air Taxi - Tyee Airlines Inc.,1982,8,8
Air Taxi - Custom Air Transport Inc.,1982,2,2
Air Taxi - Basco Flying Service Inc.,1982,5,3
Air Taxi,1982,38,35
Air India,1982,111,17
Air Florida,1982,79,74
Air Affaires Gabon,1982,12,12
Aeropesca Colombia,1982,21,21
Aeronor Chile,1982,46,46
Aerolineas Condor,1982,44,44
Aerolineas Centrales de Colombia,1982,22,22
Aeroflot / Aeroflot,1982,11,11
Aeroflot,1982,333,263
United Air Lines,1983,3,3
Turkish Airlines (THY),1983,67,47
Transamerica Airlines,1983,7,7
Total,1983,8,8
TAMPA Colombia,1983,3,3
TAME,1983,119,119
TAM Lineas Aéreas Regional,1983,15,7
Talair,1983,10,10
Taiwan Airlines,1983,10,10
TAAG Angola Airlines,1983,130,130
SAN Ecuador,1983,100,8
RepubliAirlines,1983,33,1
Pennsylvania Airlines,1983,30,1
Nigeria Airways,1983,72,53
Munz Northern Airlines,1983,3,2
Moore's Air Charter,1983,12,12
Linair Express,1983,9,7
Las Vegas Airlines,1983,10,10
Korean Airlines,1983,269,269
Japan Air Self-Defence Force,1983,14,14
Inuvik Coastal Airways,1983,12,2
Iberia Airlines / Aviaco,1983,135,93
Gulf Air,1983,112,112
Garuda Indonesia Airlines,1983,61,3
Eastern Air Lines,1983,172,0
Central Mountain Air Services,1983,9,9
Central Airlines,1983,2,2
CAAK,1983,23,23
CAAC,1983,106,11
Burma Airways,1983,14,9
British Airways Helicopters,1983,26,20
Bali International Air Service,1983,13,9
Bakhtar Afghan Airlines,1983,19,19
AVIANCA,1983,192,181
Avensa,1983,50,23
Austin Airways,1983,7,4
Air Taxi - Ozark Skyways Inc.,1983,4,4
Air Taxi - Northern Air Services Inc.,1983,2,2
Air Taxi - Island Airlines,1983,4,4
Air Taxi - Four Corners Aviation Inc.,1983,5,2
Air Taxi,1983,16,16
Air Mali,1983,7,7
Air Liberia,1983,9,8
Air Illinois,1983,10,10
Air Canada,1983,115,23
Aeroleo Taxi Aereo,1983,11,11
Aeroflot,1983,160,155
Zantop International Airlines,1984,4,4
Wings West Airlines / Private,1984,17,17
VOTEC / VOTEC,1984,35,19
Village Airways,1984,4,4
Vieques Air Link,1984,9,9
Tierra del Fuego Province,1984,12,12
Taxi Aéreo del Guaviare,1984,7,7
TAME,1984,14,14
TAM Lineas Aéreas Regional,1984,18,18
Talair,1984,11,9
State Airlines,1984,6,6
South PacifiIsland Airways,1984,14,1
Skycraft Air Transport,1984,2,1
Scandinavian Airlines (SAS),1984,177,0
Royal Nepal Airlines,1984,23,15
Provincetown - Boston Airlines,1984,19,14
Pioneer Airlines,1984,9,9
Pelita Air Service,1984,9,6
North East Bolivian Airways,1984,3,1
Nahanni Air Services,1984,7,7
MMM Aero Services,1984,30,30
Mililtary - Soviet Air Force,1984,20,20
Lloyd Aereo Boliviano,1984,23,23
Líder Táxi Aéreo,1984,4,4
Labradore Airways,1984,4,4
Fuerza Aérea del Peru,1984,21,21
Frigorifico Reyes,1984,5,5
Flight Safety Australia,1984,2,2
Euroair,1984,1,1
Coval Air,1984,9,9
Cameroon Airlines,1984,116,2
Britt Airways,1984,3,3
Bangladesh Biman,1984,49,49
Balkan Bulgarian Airlines,1984,50,50
Aviation Enterprises,1984,3,3
APRL,1984,26,11
Airfast Indonesia,1984,3,2
Air Taxi - Richards Aviation Inc.,1984,2,2
Air Taxi - Raco Helicopters Corp.,1984,3,3
Air Taxi - Desert Flying Service,1984,3,3
Air Taxi - Delaware Aviation LLC,1984,4,4
Air Taxi,1984,12,12
Air Niagara,1984,2,2
Air Continental,1984,3,3
Aerosucre Colombia,1984,6,4
Aeroflot,1984,370,322
AECA Cargo,1984,4,4
YPF,1985,7,7
Trans World Airlines,1985,153,1
TPI International Airways,1985,3,3
Thai Airways,1985,11,11
TABA,1985,17,17
SATENA,1985,46,46
Sabeni,1985,2,2
Private,1985,9,7
Pel Air,1985,2,2
North PacifiAirlines,1985,9,9
Nordeste Linhas Aéreas,1985,2,2
Mountain Air Cargo,1985,1,1
Midwest Express,1985,31,31
Merpati Nusantara Airlines,1985,19,8
MAP,1985,9,9
Jet Alaska,1985,4,4
Japan Air Lines,1985,524,520
Iberia Airlines,1985,148,148
General Aviation Inc.,1985,2,2
Galaxy Airlines,1985,71,70
Fuerza Aérea Colombiana,1985,80,80
Empresa Nacional de Transp.  Trabalho Aereo,1985,5,5
EgyptAir,1985,103,60
Eastern Air Lines,1985,29,29
Douglas Airways,1985,5,3
Dirgantara Air Services,1985,10,9
Delta Air Lines,1985,163,134
Cubana de Aviacion,1985,38,38
China Airlines (Taiwan),1985,274,0
Carga Aereo Transportada,1985,4,4
CAAC,1985,41,38
Burma Airways,1985,4,4
British Airtours,1985,137,55
Bar Harbor Airlines,1985,8,8
Avensa,1985,13,2
Arrow Airways,1985,256,256
Ariana Afghan Airlines,1985,52,52
American Airlines,1985,89,0
Alyemda Airlines,1985,73,3
AIRES Colombia,1985,17,17
Air Taxi- Hermans Air Inc.,1985,4,2
Air Taxi - Oklahoma Airways Inc.,1985,2,2
Air Taxi - Monument Valley Air Service,1985,6,6
Air Taxi - Mercy Flights Inc.,1985,4,4
Air Taxi - Jet Alaska,1985,3,3
Air Taxi - Henson Airlines,1985,14,14
Air Taxi - Eidoarie Inc.,1985,4,4
Air Taxi - Air Trends Inc.,1985,5,4
Air Taxi,1985,17,11
Air Ohio - Air Taxi,1985,2,2
Air Mali,1985,51,50
Air India,1985,329,329
Air Carriers Express Services Inc,1985,17,17
Air Albatross,1985,9,8
Aeronica,1985,5,2
Aerolineas Centrales de Colombia,1985,23,23
Aeroflot / Soviet Air Force,1985,76,76
Aeroflot,1985,294,272
Acme Air,1985,2,2
VASP,1986,72,1
Trans World Airlines,1986,121,4
Taxair,1986,8,8
Sunflower Airlines,1986,14,11
Sudan Airways,1986,60,60
Southwest Airlift,1986,2,2
Southern Air Transport,1986,3,3
Simmons Airlines,1986,9,3
Private - WNBC,1986,2,2
Peninsula Air Services,1986,6,6
Pan American World Airways,1986,384,16
Pakistan International Airlines,1986,54,13
Ministerstvo Obshchestvo Mashinostroyeniya,1986,9,9
Mexicana,1986,167,167
Merpati Nusantara Airlines,1986,16,2
Loganair,1986,16,1
Leeward Islands Air Transport,1986,13,13
Kondair,1986,1,1
Iraqi Airways,1986,106,63
Iran Air,1986,80,3
Grand Canyon Airlines / Helitech,1986,25,25
Government of Mozambique,1986,44,34
Goose Bay Air Services,1986,5,4
GLM Aviation,1986,14,2
EgyptAir,1986,26,23
East Indonesia Air Taxi,1986,13,13
Denver Air Center,1986,7,7
China Airlines (Taiwan),1986,13,13
CAAC,1986,44,6
British International Helicopters,1986,47,45
AtlantiSoutheast Airlines,1986,5,5
Air Taxi - New London Flying Services Inc.,1986,4,2
Air Taxi - Islip Airco Inc.,1986,5,2
Air Taxi,1986,15,12
Air Lanka,1986,150,22
Aerovias de Guatemala SA,1986,87,87
Aeromexico / Private,1986,67,67
Aeroflot,1986,384,252
Aerocalifornia,1986,21,21
ACES Colombia,1986,13,13
YPFB Transportes Aereos,1987,16,14
Varig,1987,51,50
Trillium Air,1987,3,1
Travel Air Flug,1987,4,2
Thai Airways,1987,83,83
Talair,1987,21,15
Southcentral Air,1987,8,6
South African Airways,1987,159,159
Skyworld Airlines (Ports of Call Inc.),1987,135,1
Skywest Airlines / Private.,1987,10,10
Scanex Air,1987,10,10
Sasco Air Lines,1987,13,13
Ryan Air Services,1987,21,18
Rutaca,1987,10,10
Philippine Air Lines,1987,65,65
Panorama Air Tour,1987,8,8
PacifiSouthwest Airlines,1987,43,43
Oxaero Ltd.,1987,7,4
Northwest Airlink,1987,22,9
Northwest Airlines,1987,155,154
Missionary Aviation Fellowship,1987,30,6
Merpati Nusantara Airlines,1987,8,8
Merpati Nasantara Airlines,1987,17,17
MAP,1987,9,9
LOT Polish Airlines,1987,183,183
LAN,1987,33,2
Korean Airlines,1987,115,115
Kenn Borek Air,1987,4,2
Garuda Indonesia Airlines,1987,45,27
Flynn's Ferry Service,1987,2,2
EgyptAir,1987,5,5
DHL,1987,3,2
Cooper Skybird Air Charters,1987,14,14
Continental Airlines,1987,82,28
Connie Kalitta Services,1987,3,3
California Air National Guard,1987,2,2
California Air Charter,1987,1,1
Burma Airways,1987,94,94
Burlington Air Express,1987,4,4
Belize Air International Ltd.,1987,12,5
Bakhtar Afghan Airlines,1987,53,53
American Eagle,1987,6,2
Air-Lift Commuter,1987,2,2
Air Taxi - Petroleum Helicopters Inc.,1987,15,15
Air Taxi - Flying School of the Cascades Inc.,1987,4,4
Air Taxi,1987,11,9
Air Reconnaissance Unit of Liberia,1987,18,16
Air Manitoba,1987,2,2
Air Malawi,1987,10,10
Air Littoral,1987,16,16
Air Afrique,1987,163,1
Aeroflot,1987,62,41
Aeroejecutivos Colombia,1987,9,2
Aero Transporti Italiani,1987,37,37
Aero France,1987,11,11
Wrangell Air Service,1988,10,1
Wideroe's Flyveselksap,1988,36,36
Wasa Wings,1988,12,6
Vayudoot,1988,34,34
United Airways,1988,24,24
Uganda Airlines,1988,52,33
Transporte Aereo Federal,1988,20,20
Transport Arien Transregional,1988,23,23
Trans Colorado AL / Continental Express,1988,17,9
TAME Ecuador,1988,7,7
Talia Airways,1988,15,15
Taiwan Airlines,1988,11,10
TACA,1988,48,3
T & G Aviation,1988,5,5
Starair,1988,2,2
Shanxi Airlines,1988,46,42
Phoenix Air,1988,2,2
Pan American World Airways,1988,259,259
Northeast Jet,1988,2,1
North American Sabreliner 40,1988,11,11
NFD - Nurnberger Flugdienst,1988,21,21
MD Air Services,1988,6,6
LOT Polish Airlines,1988,29,1
Lineas Aéreas Suramericanas,1988,8,8
Kuwait Airways,1988,112,2
Kinair Cargo,1988,5,5
JC Air,1988,7,7
Jay Hawk Air - Air Taxi,1988,3,3
Iran Air,1988,290,290
Indian Airlines,1988,129,124
Hang Khong (Vietnam),1988,90,76
Geoterrex,1988,3,3
GAS Air,1988,8,8
Fuerza Aérea Panamena,1988,16,16
Ethiopian Airlines,1988,104,35
ETA - Empresa Transportes Aéreos,1988,9,9
Delta Air Lines,1988,108,14
Condor Flugdienst,1988,16,16
Commercial Airways (Comair),1988,17,17
China Southwest Airlines,1988,108,108
Chaillotine Air Service,1988,6,6
CAAC,1988,89,7
Broughton Air Servces,1988,10,10
Bradley Air Services,1988,2,2
Balkan Bulgarian Airlines,1988,37,28
AVIANCA,1988,143,143
AV Air / American Eagle,1988,12,12
Austral Lineas Aeras (Argentina),1988,22,22
Arax Airlines,1988,4,4
Aramar,1988,8,8
Angola Air Charter,1988,6,6
Aloha Airlines,1988,95,1
Air Taxi - Temesco Helicopters Inc.,1988,3,3
Air Taxi - TAJ FBO Co.,1988,4,4
Air Taxi - Northern Arizona Aircraft Inc.,1988,5,5
Air Taxi - Minuteman Aviation Inc.,1988,3,3
Air Littoral,1988,4,4
Air France,1988,136,3
Aeronica,1988,6,6
Aeroflot,1988,266,91
Aerocaribe,1988,20,1
Aero Peru,1988,69,12
Aero Club Libya,1988,14,14
Winchester Air,1989,5,5
Wehite Cap Aviation,1989,6,6
Weasua Airtransport,1989,10,2
Vayudoot,1989,11,11
Varig,1989,54,13
USAir,1989,63,2
Universal Airlines,1989,19,13
United Express,1989,6,6
United Air Lines,1989,654,121
Union des Transportes Aeriens,1989,171,171
Transfair,1989,2,2
Transbrasil,1989,3,3
Tepper Aviation,1989,5,5
TAUSA,1989,12,12
Tarom,1989,12,12
TAN,1989,146,127
Talair,1989,22,3
Surinam Airways,1989,187,176
Southern Express,1989,2,1
Somali Airlines,1989,30,30
Skylink Airlines,1989,7,7
SceniAir Tours,1989,11,11
SATENA,1989,11,11
RRC Air Service,1989,16,16
RAM,1989,3,3
Private,1989,2,2
Philippine Air Lines,1989,98,1
Partnair,1989,55,55
Pakistan International Airlines,1989,54,54
OlympiAviation,1989,34,34
Nile Safaris Aviation,1989,6,6
New England Airlines,1989,8,8
Mid PacifiAir,1989,2,2
Merpati Nusantara Airlines,1989,22,22
MAP,1989,9,9
Lineas Aéreas Cave,1989,7,3
Korean Airlines,1989,251,76
Interflug,1989,113,20
Independent Air Inc.,1989,144,144
Holmstoem Air,1989,16,16
Grand Canyon Airlines,1989,21,10
Fuerza Aérea del Peru,1989,62,62
Formosa Airlines,1989,13,12
Flying Tiger Line,1989,4,4
Evergreen International Airlines,1989,2,2
Europe Aero Service EAS,1989,22,22
Cubana de Aviacion,1989,126,126
China Eastern Airlines,1989,40,34
China Airlines (Taiwan),1989,54,54
Cameroon Airlines,1989,47,3
Calair,1989,2,2
Burma Airways,1989,29,26
British Midland Airways,1989,126,47
Bradley Air Services,1989,2,2
Boeing KC-135E,1989,7,2
